,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_max_depth,param_n_estimators,param_scale_pos_weight,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0,5.206259727478027,0.03139913212686756,1.1266611417134602,0.03620245169834653,0.1,0.0,6.0,50.0,1.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7999418510188898,0.8011474891193748,0.8012197251359627,0.8007696884247425,0.0005861118143720534,140,0.7469219590872072,0.7478668294980165,0.7503968728810179,0.7483952204887472,0.0014670047143568814,143
1,5.182376543680827,0.02118142630308185,1.1306335131327312,0.03224046300299699,0.1,0.0,6.0,50.0,1.5,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 50, 'scale_pos_weight': 1.5}",0.807248604481838,0.8068805266894727,0.8072570750447534,0.8071287354053548,0.00017554413042282716,130,0.7967295316267706,0.7982567467254137,0.8004148219057876,0.7984670334193241,0.0015118435722391074,108
2,5.347229242324829,0.03413414307644758,1.193151632944743,0.03628876529566625,0.1,0.0,6.0,50.0,2.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 50, 'scale_pos_weight': 2}",0.8052501299729191,0.8034841478245377,0.8047084456875303,0.8044809078283289,0.0007386940481362511,134,0.8285958384567478,0.8279575042104675,0.830848390570779,0.8291339110793313,0.0012400127949445258,69
3,5.479631503423055,0.05007938587174708,1.0977274576822917,0.02807290687065652,0.1,0.0,6.0,50.0,3.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 50, 'scale_pos_weight': 3}",0.7917220817561346,0.7909964099240478,0.792167842338739,0.7916287780063072,0.00048276472381910486,143,0.8650772105204324,0.8670130823814883,0.8689800965258665,0.8670234631425958,0.0015933634473453103,19
4,8.244280815124512,0.01685720915142572,1.2666067282358806,0.011491661731289474,0.1,0.0,6.0,100.0,1.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 100, 'scale_pos_weight': 1}",0.811391874912746,0.8128852486701005,0.8128173095932129,0.8123648110586864,0.0006885286184321695,118,0.7657016016991105,0.7684202964488398,0.770771010330661,0.7682976361595371,0.0020713940761941762,142
5,8.196906725565592,0.0409753448688544,1.2613108952840169,0.014498848637981107,0.1,0.0,6.0,100.0,1.5,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 100, 'scale_pos_weight': 1.5}",0.8175378612658635,0.8165311816302362,0.8166908133289577,0.8169199520750192,0.0004417611691903451,103,0.8114051196882834,0.8117701523750229,0.8139284432212517,0.8123679050948528,0.0011134845152510336,102
6,8.60801903406779,0.2673378953230157,1.2712440490722656,0.02282525062202222,0.1,0.0,6.0,100.0,2.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 100, 'scale_pos_weight': 2}",0.814225291994878,0.8124651465394387,0.8136135239206085,0.8134346541516417,0.0007296226429982407,113,0.8377141853371872,0.8372963610386086,0.8402536795500778,0.8384214086419579,0.001306791693851172,57
7,8.798260847727457,0.03292817329766357,1.3563798268636067,0.1165201414928988,0.1,0.0,6.0,100.0,3.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 100, 'scale_pos_weight': 3}",0.8023016670161845,0.8012548386504981,0.8014835785846749,0.8016800280837858,0.0004493749073822158,137,0.8705865444499449,0.8715388360751259,0.8739978461170277,0.8720410755473661,0.0014372260623779398,9
8,11.852091471354166,0.07046577185381321,1.410557508468628,0.016614539759864853,0.1,0.0,6.0,150.0,1.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 150, 'scale_pos_weight': 1}",0.8169040172087914,0.817666034395017,0.8181052719770439,0.8175584411936173,0.0004962764534026696,99,0.7747321186183549,0.7758993638402656,0.7789637429699653,0.7765317418095287,0.0017844864032903933,135
9,11.831642071406046,0.05875233357077898,1.4228785037994385,0.007313453879678254,0.1,0.0,6.0,150.0,1.5,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 150, 'scale_pos_weight': 1.5}",0.8209539958773492,0.8206216332211576,0.820928884179379,0.8208348377592952,0.00015110654222682317,81,0.8156608805352837,0.8165114181493099,0.8188823740576762,0.8170182242474233,0.0013631200594023851,90
10,11.85451110204061,0.08881525194763347,1.5758090019226074,0.13716523571623138,0.1,0.0,6.0,150.0,2.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 150, 'scale_pos_weight': 2}",0.8176402050644711,0.8172725792570883,0.8177766783523563,0.8175631542246385,0.00021288744820004423,98,0.8404768368438703,0.8413831086420345,0.8439073032587452,0.8419224162482166,0.0014514738432505065,44
11,11.796980142593384,0.03019995374666052,1.4089056650797527,0.0016854042167426882,0.1,0.0,6.0,150.0,3.0,"{'eta': 0.1, 'gamma': 0, 'max_depth': 6, 'n_estimators': 150, 'scale_pos_weight': 3}",0.8064232844059717,0.8059491545395628,0.8062854142108529,0.8062192843854624,0.00019913085799684073,132,0.8725188035962377,0.8735023905877094,0.8757608392166247,0.8739273444668573,0.00135723692122801,3
